Word,Type
Amaranth,Color
Amber,Color
Amethyst,Color
Apricot,Color
Aquamarine,Color
Azure,Color
Baby blue,Color
Beige,Color
Black,Color
Blue,Color
Blue-green,Color
Blue-violet,Color
Blush,Color
Bronze,Color
Brown,Color
Burgundy,Color
Byzantium,Color
Carmine,Color
Cerise,Color
Cerulean,Color
Champagne,Color
Chartreuse green,Color
Chocolate,Color
Cobalt blue,Color
Coffee,Color
Copper,Color
Coral,Color
Crimson,Color
Cyan,Color
Desert sand,Color
Electric blue,Color
Emerald,Color
Erin,Color
Gold,Color
Gray,Color
Green,Color
Harlequin,Color
Indigo,Color
Ivory,Color
Jade,Color
Jungle green,Color
Lavender,Color
Lemon,Color
Lilac,Color
Lime,Color
Magenta,Color
Magenta rose,Color
Maroon,Color
Mauve,Color
Navy blue,Color
Ochre,Color
Olive,Color
Orange,Color
Orange-red,Color
Orchid,Color
Peach,Color
Pear,Color
Periwinkle,Color
Persian blue,Color
Pink,Color
Plum,Color
Prussian blue,Color
Puce,Color
Purple,Color
Raspberry,Color
Red,Color
Red-violet,Color
Rose,Color
Ruby,Color
Salmon,Color
Sangria,Color
Sapphire,Color
Scarlet,Color
Silver,Color
Slate gray,Color
Spring bud,Color
Spring green,Color
Tan,Color
Taupe,Color
Teal,Color
Turquoise,Color
Ultramarine,Color
Violet,Color
Viridian,Color
White,Color
Yellow,Color
attractive,Appearance 
bald,Appearance 
beautiful,Appearance 
chubby,Appearance 
clean,Appearance 
dazzling,Appearance 
drab,Appearance 
elegant,Appearance 
fancy,Appearance 
fit,Appearance 
flabby,Appearance 
glamorous,Appearance 
gorgeous,Appearance 
handsome,Appearance 
long,Appearance 
magnificent,Appearance 
muscular,Appearance 
plain,Appearance 
plump,Appearance 
quaint,Appearance 
scruffy,Appearance 
shapely,Appearance 
short,Appearance 
skinny,Appearance 
stocky,Appearance 
ugly,Appearance 
unkempt,Appearance 
unsightly,Appearance 
dead,Condition
alive,Condition
sick,Condition
happy,Condition
sad,Condition
healthy,Condition
famous,Condition
right,Condition
easy,Condition
famous,Condition
gifted,Condition
hallowed,Condition
helpful,Condition
important,Condition
expensive,Condition
inexpensive,Condition
mealy,Condition
mushy,Condition
odd,Condition
poor,Condition
powerful,Condition
rich,Condition
shy,Condition
tender,Condition
unimportant,Condition
uninterested,Condition
vast,Condition
wrong,Condition
interested,Condition
big,Shape
colossal,Shape
fat,Shape
gigantic,Shape
great,Shape
huge,Shape
immense,Shape
large,Shape
little,Shape
massive,Shape
microscopic,Shape
miniature,Shape
petite,Shape
puny,Shape
scrawny,Shape
short,Shape
small,Shape
tall,Shape
teeny,Shape
tiny,Shape
ancient,Time
brief,Time
early,Time
fast,Time
future,Time
late,Time
long,Time
modern,Time
old,Time
old-fashioned,Time
prehistoric,Time
quick,Time
rapid,Time
short,Time
slow,Time
swift,Time
young,Time
abundant,Quantity 
billions,Quantity 
enough,Quantity 
few,Quantity 
full,Quantity 
hundreds,Quantity 
incalculable,Quantity 
limited,Quantity 
little,Quantity 
many,Quantity 
most,Quantity 
millions,Quantity 
numerous,Quantity 
scarce,Quantity 
some,Quantity 
sparse,Quantity 
substantial,Quantity 
thousands,Quantity 
aggressive,Quality
agreeable,Quality
ambitious,Quality
brave,Quality
calm,Quality
delightful,Quality
eager,Quality
faithful,Quality
gentle,Quality
happy,Quality
jolly,Quality
kind,Quality
lively,Quality
nice,Quality
obedient,Quality
polite,Quality
proud,Quality
silly,Quality
thankful,Quality
victorious,Quality
witty,Quality
wonderful,Quality
zealous,Quality
good,Quality
great,Quality
